epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
084,1.253,0.580,1.419,0.216,0.456,0.785,0.513,0.577,0.247
085,1.222,0.570,1.412,0.220,0.457,0.784,0.514,0.577,0.247
086,1.257,0.587,1.430,0.217,0.457,0.784,0.514,0.577,0.247
087,1.214,0.570,1.387,0.221,0.457,0.785,0.515,0.578,0.247
088,1.196,0.570,1.360,0.215,0.457,0.785,0.515,0.578,0.247
089,1.212,0.566,1.377,0.220,0.457,0.784,0.515,0.578,0.247
090,1.184,0.562,1.338,0.218,0.459,0.782,0.516,0.578,0.248
091,1.232,0.576,1.390,0.217,0.459,0.782,0.516,0.578,0.248
092,1.162,0.550,1.313,0.219,0.459,0.784,0.517,0.579,0.248
093,1.210,0.570,1.362,0.222,0.459,0.783,0.517,0.579,0.248
094,1.236,0.576,1.398,0.219,0.460,0.784,0.517,0.579,0.249
095,1.172,0.552,1.325,0.221,0.460,0.783,0.517,0.580,0.249
096,1.252,0.590,1.413,0.213,0.461,0.783,0.518,0.580,0.249
097,1.206,0.567,1.394,0.219,0.461,0.783,0.519,0.580,0.249
098,1.210,0.564,1.355,0.215,0.461,0.783,0.519,0.580,0.249
099,1.208,0.568,1.354,0.214,0.460,0.786,0.519,0.581,0.250
100,1.212,0.566,1.381,0.217,0.461,0.785,0.519,0.581,0.250
101,1.235,0.576,1.391,0.215,0.462,0.784,0.520,0.581,0.250
102,1.175,0.551,1.316,0.218,0.462,0.785,0.520,0.581,0.250
103,1.224,0.574,1.395,0.216,0.462,0.785,0.520,0.582,0.250
104,1.250,0.576,1.403,0.216,0.462,0.787,0.520,0.582,0.251
105,1.220,0.572,1.378,0.216,0.463,0.785,0.521,0.582,0.251
106,1.203,0.565,1.414,0.218,0.463,0.785,0.521,0.583,0.251
107,1.232,0.576,1.403,0.218,0.463,0.787,0.521,0.583,0.251
108,1.178,0.563,1.331,0.218,0.463,0.786,0.521,0.583,0.251
109,1.175,0.557,1.316,0.212,0.463,0.788,0.521,0.583,0.251
110,1.165,0.555,1.294,0.216,0.463,0.788,0.522,0.583,0.251
111,1.205,0.562,1.379,0.216,0.464,0.786,0.522,0.583,0.251
112,1.171,0.550,1.320,0.217,0.464,0.787,0.522,0.584,0.252
113,1.175,0.556,1.325,0.218,0.464,0.788,0.523,0.584,0.252
114,1.184,0.559,1.329,0.216,0.464,0.789,0.524,0.584,0.252
115,1.251,0.589,1.371,0.209,0.464,0.789,0.524,0.585,0.252
116,1.226,0.576,1.379,0.212,0.464,0.789,0.524,0.585,0.252
117,1.198,0.567,1.365,0.215,0.464,0.791,0.525,0.585,0.253
118,1.173,0.559,1.322,0.212,0.464,0.792,0.525,0.585,0.253
119,1.198,0.570,1.336,0.215,0.464,0.792,0.525,0.585,0.253
120,1.148,0.544,1.317,0.219,0.465,0.791,0.525,0.585,0.253
121,1.171,0.553,1.319,0.212,0.465,0.792,0.525,0.586,0.253
122,1.183,0.558,1.330,0.215,0.465,0.792,0.525,0.586,0.253
123,1.173,0.550,1.337,0.214,0.465,0.792,0.526,0.586,0.254
124,1.202,0.565,1.352,0.211,0.466,0.792,0.526,0.587,0.254
125,1.226,0.572,1.370,0.216,0.466,0.792,0.527,0.587,0.254
126,1.234,0.583,1.388,0.209,0.466,0.793,0.527,0.587,0.255
127,1.207,0.572,1.342,0.211,0.466,0.793,0.527,0.587,0.255
128,1.195,0.562,1.355,0.215,0.467,0.792,0.528,0.587,0.255
129,1.194,0.562,1.345,0.217,0.466,0.793,0.528,0.587,0.255
130,1.190,0.565,1.336,0.215,0.467,0.792,0.528,0.587,0.255
131,1.232,0.581,1.366,0.208,0.467,0.791,0.528,0.588,0.256
132,1.180,0.566,1.310,0.208,0.467,0.792,0.529,0.588,0.256
133,1.157,0.552,1.305,0.212,0.467,0.792,0.529,0.588,0.256
134,1.182,0.561,1.310,0.208,0.467,0.792,0.530,0.588,0.256
135,1.178,0.562,1.321,0.212,0.467,0.794,0.530,0.588,0.256
136,1.226,0.581,1.363,0.211,0.467,0.793,0.530,0.588,0.257
137,1.201,0.568,1.347,0.210,0.467,0.793,0.530,0.588,0.257
138,1.179,0.556,1.330,0.214,0.467,0.795,0.530,0.588,0.257
139,1.222,0.574,1.372,0.211,0.467,0.794,0.531,0.588,0.257
140,1.210,0.570,1.342,0.212,0.468,0.795,0.531,0.589,0.257
141,1.231,0.580,1.371,0.211,0.469,0.794,0.531,0.589,0.257
142,1.242,0.582,1.358,0.208,0.469,0.795,0.532,0.590,0.257
143,1.198,0.561,1.335,0.210,0.469,0.794,0.532,0.590,0.258
144,1.201,0.570,1.332,0.211,0.469,0.794,0.532,0.590,0.258
145,1.202,0.569,1.334,0.211,0.469,0.794,0.533,0.590,0.258
146,1.172,0.559,1.308,0.211,0.470,0.794,0.533,0.590,0.258
147,1.221,0.583,1.366,0.206,0.470,0.792,0.533,0.590,0.259
148,1.172,0.553,1.336,0.215,0.471,0.792,0.533,0.591,0.259
149,1.176,0.558,1.334,0.214,0.471,0.793,0.534,0.591,0.259
150,1.184,0.564,1.329,0.212,0.471,0.793,0.534,0.591,0.259
151,1.216,0.569,1.343,0.213,0.471,0.794,0.535,0.592,0.259
152,1.178,0.562,1.329,0.210,0.471,0.794,0.535,0.592,0.259
153,1.201,0.565,1.380,0.216,0.472,0.794,0.535,0.592,0.259
154,1.229,0.578,1.380,0.209,0.472,0.794,0.535,0.592,0.259
155,1.195,0.567,1.334,0.211,0.471,0.796,0.536,0.592,0.259
156,1.263,0.586,1.400,0.209,0.471,0.797,0.536,0.592,0.259
157,1.216,0.576,1.351,0.210,0.472,0.795,0.536,0.592,0.260
158,1.200,0.571,1.326,0.210,0.471,0.796,0.536,0.592,0.260
